tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,doggo,floofer,pupper,puppo,favorites,retweet_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
863079547188785154,667152164079423488,4196983835.0,2017-05-12 17:12:53,http://twitter.com/download/iphone,"Ladies and gentlemen... I found Pipsy. He may have changed his name to Pablo, but he never changed his love for the sea. Pupgraded to 14/10 https://t.co/lVU5GyNFen",https://twitter.com/dog_rates/status/863079547188785154/photo/1,14,10,,0,0,0,0,8433,1048,https://pbs.twimg.com/media/C_pGRInUwAAmTY_.jpg,1,Lakeland_terrier,0.275242,True,Airedale,0.190569,True,teddy,0.102595,False
856526610513747968,855818117272018944,4196983835.0,2017-04-24 15:13:52,http://twitter.com/download/iphone,"THIS IS CHARLIE, MARK. HE DID JUST WANT TO SAY HI AFTER ALL. PUPGRADED TO A 14/10. WOULD BE AN HONOR TO FLY WITH https://t.co/p1hBHCmWnA",https://twitter.com/dog_rates/status/856526610513747968/photo/1,14,10,,0,0,0,0,11533,1804,https://pbs.twimg.com/media/C-L-aIYXgAIR0jY.jpg,1,Old_English_sheepdog,0.798481,True,Tibetan_terrier,0.0606024,True,standard_poodle,0.0407219,True
844979544864018432,759099523532779520,4196983835.0,2017-03-23 18:29:57,http://twitter.com/download/iphone,"PUPDATE: I'm proud to announce that Toby is 236 days sober. Pupgraded to a 13/10. We're all very proud of you, Toby https://t.co/a5OaJeRl9B","https://twitter.com/dog_rates/status/844979544864018432/photo/1,https://twitter.com/dog_rates/status/844979544864018432/photo/1,https://twitter.com/dog_rates/status/844979544864018432/photo/1",13,10,,0,0,0,0,13569,2539,https://pbs.twimg.com/media/C7n4aQ0VAAAohkL.jpg,3,tennis_ball,0.999281,False,racket,0.00037008,False,Shetland_sheepdog,0.000132068,True
802265048156610565,733109485275860992,4196983835.0,2016-11-25 21:37:47,http://twitter.com/download/iphone,"Like doggo, like pupper version 2. Both 11/10 https://t.co/9IxWAXFqze",https://twitter.com/dog_rates/status/802265048156610565/photo/1,11,10,,1,0,1,0,6927,1413,https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg,1,Labrador_retriever,0.8971620000000001,True,beagle,0.016894799999999998,True,Rhodesian_ridgeback,0.0120606,True
746906459439529985,746885919387574272,4196983835.0,2016-06-26 03:22:31,http://twitter.com/download/iphone,"PUPDATE: can't see any. Even if I could, I couldn't reach them to pet. 0/10 much disappointment https://t.co/c7WXaB2nqX",https://twitter.com/dog_rates/status/746906459439529985/photo/1,0,10,,0,0,0,0,2904,298,https://pbs.twimg.com/media/Cl2LdofXEAATl7x.jpg,1,traffic_light,0.470708,False,fountain,0.199776,False,space_shuttle,0.064807,False
746818907684614144,691416866452082688,4196983835.0,2016-06-25 21:34:37,http://twitter.com/download/iphone,"Guys... Dog Jesus 2.0
13/10 buoyant af https://t.co/CuNA7OwfKQ",https://twitter.com/dog_rates/status/746818907684614144/photo/1,13,10,,0,0,0,0,5332,1743,https://pbs.twimg.com/media/Cl071YVWEAAlF7N.jpg,1,dingo,0.175518,False,timber_wolf,0.13364700000000002,False,Ibizan_hound,0.101537,True
729838605770891264,729113531270991872,4196983835.0,2016-05-10 01:00:58,http://twitter.com/download/iphone,"""Challenge completed"" 
(pupgraded to 12/10) https://t.co/85dTK7XCXB",https://twitter.com/dog_rates/status/729838605770891264/video/1,12,10,,0,0,0,0,1724,381,https://pbs.twimg.com/ext_tw_video_thumb/729838572744912896/pu/img/RIl-XYmRxW-YLFSV.jpg,1,stone_wall,0.7582180000000001,False,patio,0.07420539999999999,False,prison,0.013826,False
705786532653883392,703255935813287936,4196983835.0,2016-03-04 16:06:36,http://twitter.com/download/iphone,"Seriously, add us 🐶 11/10 for sad wet pupper https://t.co/xwPE9faVZR",https://twitter.com/dog_rates/status/705786532653883392/photo/1,11,10,,0,0,1,0,1930,517,https://pbs.twimg.com/media/Cct1G6vVAAI9ZjF.jpg,1,web_site,0.550294,False,Labrador_retriever,0.14849600000000002,True,golden_retriever,0.148482,True
704871453724954624,667152164079423488,4196983835.0,2016-03-02 03:30:25,http://twitter.com/download/iphone,I found a forest Pipsy. 12/10 https://t.co/mIQ1KoVsmU,https://twitter.com/dog_rates/status/704871453724954624/photo/1,12,10,,0,0,0,0,4268,1113,https://pbs.twimg.com/media/Ccg02LiWEAAJHw1.jpg,1,Norfolk_terrier,0.689504,True,soft-coated_wheaten_terrier,0.10148,True,Norwich_terrier,0.0557785,True
703425003149250560,703041949650034688,4196983835.0,2016-02-27 03:42:44,http://twitter.com/download/iphone,"Really guys? Again? I know this is a rare Albanian Bingo Seal, but we only rate dogs. Only send in dogs... 9/10 https://t.co/6JYLpUmBrC",https://twitter.com/dog_rates/status/703425003149250560/photo/1,9,10,,0,0,0,0,3800,1361,https://pbs.twimg.com/media/CcMRSwUW8AAxxNC.jpg,1,miniature_pinscher,0.292866,True,sleeping_bag,0.142122,False,Italian_greyhound,0.070849,True
